Test Case ID,Module,Test Scenario,Preconditions,Test Steps,Test Data,Expected Result,Priority,Test Type
TC001,Registration,Verify successful user registration with valid details,User is not already registered,Open Registration page → Enter valid details → Submit registration form,"Valid Name, Email, Password",User account is created successfully and user can log in,Critical,Regression
TC002,Login,Verify successful login with valid credentials,Registered user exists,Open Login page → Enter valid credentials → Click Login,Valid Email & Password,User is successfully logged in,High,"Smoke, Regression"
TC003,Login,Verify login validation for invalid and mandatory fields,Login page is accessible,Leave mandatory fields blank → Try login → Enter invalid credentials → Try login,Blank fields / Invalid credentials,Validation message is displayed,High,Regression
TC004,Product Discovery,"Verify product search, filter and sorting",Products are available,Search product → Apply filter → Apply sorting,Search keyword,Relevant products are displayed,Medium,Regression
TC005,Shopping Cart,Verify adding product to cart and updating quantity,Product is available,Open product → Add to cart → Update quantity,Valid Product,Product is added and quantity is updated,High,"Smoke, Regression"
TC006,Checkout,Verify mandatory field validation during checkout,Cart contains at least one product,Proceed to checkout → Leave mandatory fields blank → Continue,Blank customer information,User cannot continue without required details,High,Regression
TC007,End-to-End,Verify complete purchase flow from login to order confirmation,Registered user and product available,Login → Search product → Add to cart → Checkout → Place order,Valid User & Product,Order is placed successfully,Critical,"Smoke, Regression"
TC008,Shopping Cart / Checkout,Verify invalid quantity update and duplicate order handling,Product available in cart,Update quantity with invalid value → Click Place Order multiple times,Invalid Quantity,Application prevents invalid quantity and duplicate order,Medium,Regression
TC009,Order Management,Verify newly placed order is available in order history,Successful order placement,Open My Orders → Verify recent order,Existing Order,Newly placed order is visible,Medium,Regression
TC010,Application,Verify critical user journey across supported browsers,Application is available,Run TC007 on supported browsers and screen sizes,Supported Browsers,Application works correctly on supported browsers,Low,Regression
